0
보는 사람 성향에 따라 재미 요소를 받아들이는 느낌은 틀린듯.. 가볍게 잘봤는데ㅋㅋ  
"이 영화를 위해 평점쓸 시간조차 아깝지만, 이 영화를 보고 시간낭비를 할 사람들을 위해 쓴다. 그래픽이며 스토리며 그냥 최악이다. 재앙이다. 보지마라. 포스터에 속지마라. 이딴건 묻혀지고 세상에서 없어져야할 수준이다.  "
3류 냄새가 풀풀나네..  
개봉전 평점: 4.00
전체 댓글수: 3
