0
언제나 줄거리 설명에 실제 내용이 반도 못 따라감.  
참 양심도 없지ㅡㅡ 걍 일본AV 한편을 성기노출만 편집해서 고대로 내놓은 것임. 이게 한국거냐? 왜 한국영화로 분류해놨냐. 그리고 감독?? 요즘은 포르노 단순편집하는 것들도 감독이라고 칭하냐? 그렇게 따지면 유튜브는 아주 거장감독들의 잔치판이겠구만ㅉㅉ  
완전 기대됩니다!!!  
개봉전 평점: 4.00
전체 댓글수: 3
