0
장미여관 시리즈 나름 꿀잼으로 봤는데 기대됩니다 ㅋㅋㅋ  
나름 괜찮은 것 같습니다.  꿀잼은 아니지만 존잼일듯  
3일남았네요 기다려집니다 언넝나오길 ㅜㅜ  
불법 다운로드용 춉춉춉~  
개봉전 평점: 7.00
전체 댓글수: 4
