0
과연 개봉이나 할까?? 하루 간판 내걸고 바로 유선방송으로 ㄱㄱ  
"류신의 감독님..""당진 시네마 사장님께 꼭 밥사세요 ..""  "
개봉전 평점: 1.00
전체 댓글수: 2
