0
기대가 않된다 왜 이란 똥작을 만드는지 이해가 안간다  
감독 첫영화 배우도 첫영화 소재는 진부 이건가 ? ㅋㅋㅋ  
인류 미래좀 그만 걸어 이것들아  
다들 1점이길래 ㅎㅎㅎ  
진짜 성의 없네 배우들 사진하나 없네  
엘리시움이 떠오르는 스토리  
오~ 일단 포스터는 멋짐?!  
개봉전 평점: 2.43
전체 댓글수: 7
