0
지금부터 기대중!!! 스크린 많이 열어주세용!!  
보고싶은데ㅠ 제주도  개봉하겠죠???ㅠ제발ㅠㅠㅠㅠ  
"그가 들려주는 낯설지만 우아한 고백! 어린 딸 ‘룰라’에게 들려주는 가장 비밀스러운 자신의 이야기를 시작한다. 라니,왠지 올해 9월은 콩닥콩닥 설레네요  :)  "
완전 기대됩니다!!! 꼭 보고 싶어요~~!!  
기대기대 왕기대되는 작품이에요  
'트윈픽스'로 팬됐습니다!!!! 감독님 다큐라니 기대됩니다!!!  
"요즘 다큐멘터리 영화 땡겼는데, 넘 기대되네용~~~ 개봉관 많이 열어주세요!!!!  "
EIDF 예매했어요~!!!! 기대기대중입니다 감독님~~~  
1빠 ㅎㅎ 강천이화이팅  
개봉전 평점: 10.0
전체 댓글수: 9
