0
이거 꼭 보고싶다 영화음악  
ㄷㄷ 영화음악 거장들이 다나오네  
며칠 전에 슬라슬라2017 라라랜드랑 한스짐머 콘서트 다냐와서 그런지 관심이 가네요!!!  
재밌을거같음 1010  
영화음악 마니아로서 정말 기대되는 영화!  
영상음악 하는 사람은 꼭 봐야할 영화  
새로운 다큐~ 기대됩니다. 어떤 명작들이 들어있을지 궁금궁금~  
엔니오모리꼬네가 없다니ㅠㅠ  
"한 시간 반 런닝타임이 결코 지루하지 않다. 흔히 볼 수 없는 영화음악계 거장들의 진솔한 이야기부터, 위대한 음악의 힘까지 다큐영화답게 담백하게 보여준다.  "
시사회 보고 왔습니다 올 해 본 영화들 중 제일 멋지고 품격있었어요 너무 좋았어요.. 개봉하면 또 보러 가려구요  
한스짐머가 직접 출연합니까?  
"이런 영화 기다려왔었는데 드디어 나오네요. 엔니오 모리꼬네, 히사이시 조와 같은 유명한 영화음악 감독분들에 대한 이야기도 궁금해지네요.  "
스코어는 스코어일 뿐...  
개봉전 평점: 9.00
전체 댓글수: 13
