0
10점만점에 9점 ~  
진짜 액션이라고는 하나도 없는데...개몰입 해버렸다..짱!!  
기대  
제이슨스타뎀이 나오는것 만으로 이미 기대!!!!  
개봉전 평점: 9.50
전체 댓글수: 4
