0
한가희 나름 베이비 페이스에 몸매도 이쁘고 피부도 좋은데 아직 컨셉을 제대로 잡는 영화가 안보이네요 그냥평범한 배드씬뿐 먼가 신선한게 필요한데 아직 제대로 된 작품을 못 만난 듯 보임  
오랜 만에 나오는 한가희 역시 몸매는 최고  
베드신이 정말 식상하다고 밖엔 말 못하겠다.  
영화받을돈 만원으로 플레이보이tv 들어가 한달정액권사서 거기 8개 정식 풀영상봐라 이건그냥 그거 1~2개용압축해둔거네  
개봉이 언제에여  ?   7월이라면서여   ㅡ ㅡ  레즈씬이라도 넣어주던가여  포스터도 안넣고   개봉잊은신건가여  감독님?ㅡ ㅡ  
10월 19일 개봉 이라는 얘기가 있던데 기대되네요.  
요정 미인관 기대됩니다.  
개봉전 평점: 7.29
전체 댓글수: 7
