0
이딴걸누가본다고 챙피하게 극장에올려 우~와 필림값이아깝다  
예고편만 봐도 7080그 시대 아직 못 벗어난것도 소름끼치네....  
아 성괴얼굴 토나오네 강남언니  
한번 더 기대해 봅니다.  
개봉전 평점: 3.25
전체 댓글수: 4
