0
100년전에 나왔으면 그나마 볼만한 영화.. 모든 장면이 슬로우 모션에 액션도 없고 다 보고 나면 내가 이걸 왜 보고 있었는지 혼자 1시간가량 생각하게 되는 영화.  
모스코5 모스코5 모스코5 땡큐 애브리원  
총체적 난국이네. 액션? 하... 제작비가 얼마나 없었는지 cg처리한 거 보면 한숨만...  
스톤 콜드가 이리 안쓰러워 보이긴 또 첨이네.  마이클 제이 화이트 횽아를 데리고  역대급 쓰레기를 찍다니  감독아 나랑 싸우자  
싸구려 양산형 비디오용 영화  
우리는 노리치로 간다.  
개봉전 평점: 4.17
전체 댓글수: 6
