0
이은미 이채담은 대종상 시상식에서 봐야한다  
돈맛 사랑해주세요 ^.^화이팅~~  
답없다 이런영화는 킬링타임용도 아깝다  
믿고보는 이은미 10점  
이런걸보는사람이있을까?돈이아까워서어떻게보냐  
개봉이 기달려지네요ㅎㅎㅎ  
개봉전 평점: 5.50
전체 댓글수: 6
