0
후기 남깁니다새로운 배우는 환영이지만 아마 성인사이트에 나온 배우인 것 같습니다베드신들이 몇번 있기는 하나 너무 짧고 배경음악이 좀 깨네요...만원 주기에 보기 아깝네요  
포스터에 왜 여자만 살내놓나요; 남자는 몸이 안좋아서 그런가..왜 몸도 구린놈을 영화에 내보내죠..다음부턴 남자도 반쯤 벗겨서 찍어요 그래야 확인하고 보러가든가하지 참나ㅋ 남자도 근육알찬놈으로 쓰시고요  
다들 마누라들 조심하거라 갑자기 등산 동호회 든다고 하면 백퍼임 ㅋㅋㅋ  
저는 등산을 사랑 합니다.  
나도등산하고싶다 ㅅㅅ  
개봉전 평점: 6.60
전체 댓글수: 5
