0
독특한 소재인거 같은? 궁금하당  
와인을 좋아하기에 꼭봐야겠다  
내가 10점 줘서 이 영화 평점 10점 됐어요  
포스트부터 너무 구림 내가 1점줘서 평점 이렇게됨  
개봉전 평점: 7.50
전체 댓글수: 4
