0
"주먹구구 스토리, 그러나 호러 효과는 상당하다  "
키스는 왜하고 개죽음거기다 샘이  주인공  
스토리 무난하고 볼만함.  
나도 당했다. 당했다.  
개봉전 평점: 6.25
전체 댓글수: 4
