0
나름 괜찮아요!!! 글구 강한나 좋아요  
어벤져스보다 기대되네요  휴지들고 가서 봐야지  
와우 오랜만에 볼만한게 나왔네!!! 완전 기대돼요ㅋㅋㅋ  
어벤져스와 딸벤져스의 대결이네요  
과연 보고 싶고 싶어요가 이길까 끌쎄요가 이길가...박빙이다.... 글쎼요 누르고 보는 사람도 많은것이다!! 그래서 난 절반!!  
성소수자들이 미쳐날뛴다! 이젠 엄마를 성적으로 일삼는것도 나오냐? 이게 영화로 만든게 논란거리아니냐? 좌뽜감독 미쳣네!  
개봉전 평점: 7.67
전체 댓글수: 6
