0
어찌된건지 시걸 성님이 같은 해에 개봉한 영화에서 모두 '케인' 으로 나오시는구만.  
역시 징허다 시걸형님 포스터는 항상 거창하지 사상 최강의 액션 3개국 올로게 ㅋㅋ  
흠... 시티븐 시걸의 연기는... 맞을수없는 주인공이랄까?  
맞을줄 모르는 그가온다 ㅋㅋㅋㅋㅋ카드로 목을따고 ㅋㅋㅋㅋㅋㅋ  
스티븐 시걸... 시걸은 연기 천재다..  
이건 꼭 봐야되!!!!!!!!!!!!!!!!!  
닭치고 씨갈! 예아! 씨갈 형님 까면 총살이다!  
또 하나의 시걸 액션을 볼 수 있어서 기대됩니다. 시걸 앞에선 다 죽는다;;  
개봉전 평점: 7.88
전체 댓글수: 8
