0
"백설공주, 신데렐라, 잠자는 숲속의 공주, 라푼젤, 빨간망토가 세상을 구하는 이야기 같은데.. 주인공은 남자네.. 뭐지?  "
"성춘향,콩쥐,심청이 삼총사나오면 작살이겠다.ㅋㅋ  "
줄거리만 읽어보고 빵터지긴 처음이네 ㅋㅋㅋ  
역시 우리나라 영화 배급사 상술 ㅋㅋㅋ  
일빠네 이건 무슨영화?  
개봉전 평점: 3.60
전체 댓글수: 5
