0
한 D급영화정도 되는듯..  
시간이 아깝네.. 기대하고 봤지만 보지마세요.. 잔인하고 내용도 없어요.  
돈과시간이 아깝다 진짜  
개봉전 평점: 1.67
전체 댓글수: 3
