0
뒷부분 총격씬 진짜 대박이네요!  
배틀그라운드 스나이퍼 같은 느낌! 엄청 리얼하던데 ㅋㅋ잘만들었다 수작!  
마지막 구출작전 부분 기대됨  
대박 이거 완전 긴장감 쩜.드디어 개봉하는구나!!  
원래 제목이랑 너무 느낌이 다르지만 기대기대~  
인질들의 무서움과 공포감을 어떻게 표현해냈을지 기대가 되는 영화.  
예고편만 봐도 기대된다!!!  
올가 쿠릴렌코 너무 멋진 배우같아요  
"한편으로서는 재미는 있겠지만, 자기나라애들만 소중하냐? 남의나라 애들도 소중하지... 애들데리고 뭐하는짓이냐  "
개봉전 평점: 9.67
전체 댓글수: 9
