0
저는 개신교역사에 이런 분이 계셨다는 것이 놀랍습니다.  
손양원 목사님의 이야기 기대해봅니다.  
시사회 보고왔습니다.. 한 사람의 사랑이 얼마나대단할수있는지 느끼는 가슴먹먹해지는 영화네요 아름다운영상과 함께 영화보는내내 행복했어요^^ 강추합니다  
손양원목사님감사합니다  
이 시대에 사라진..사랑이 울립니다..가슴을...ㅜㅜ시사회에서 너무 울었어요..  
당신은 이미 이땅의 사람이 아니었습니다. ♥  
뒤를 따르겠습니다..  
손목사님 감사하고 존경합니다...  
개봉전 평점: 10.0
전체 댓글수: 8
