0
크리스티나 로켄...터미네이터 5에나 나와라  
뭐가 쩐다는거야 유튜브 보니까 그냥 3류티가 팍팍나는데;;  
머지? 근데 재밌을것 같다~  
"카자흐스탄 .,.;;  "
카자흐라 ~ 백설공주도 나오나요  ㅡ ㅡ??  
예고편보니 잼날거같은디 왜들그러지;;  
OOO기 영화... 삼류!  
카자흐스탄 영화? 이거 유투브에서 예고편 보니 완전 쩔던데...대박기대..게다가 터미테이터3편인가에 나왔던 크리스타나 로켄도 나오네...  
개봉전 평점: 6.12
전체 댓글수: 8
