0
이 정도가 적당한 듯 ㅋㅋㅋ b급 감성  
간만에 심장이 쫄깃! 꽤 무섭습니다.  
여러가지 상상력을 자극하는 호러무비스타일!  
그럭저럭 괜찮았음 킬타용으로 추천  
이런 시리즈물 좋다! 영상으로 된 호러스토리북같은 느낌  
볼만한 킬링타임용 B급  
생각보다 재미있는 영화네요~  
개봉전 평점: 8.86
전체 댓글수: 7
