0
작년에 이 영화를 알게 된후 개봉일만 기다리고 있습니다  
"작년 캐나다 여행 중에 교포 감독의 영화가 개봉했다하여 봤는데, 아직까지 여운이 남았어요. 한국에선 언제 볼 수 있나 기다렸는데, 개봉을 한다니~ 기대돼요. 알버트 감독님도 꼭 직접 뵙고 싶네요. 좋은 영화에요 정말~  "
정말 보고싶은 영화였어요. 빨리 개봉해서 보고싶네요. 알버트 영화 팬입니다  
오늘 시사회에서 봤는데 보는 내내 긴장되는 영화였네요.사초한 연출하나하나와 배우들의 눈빛과 태도가 소름끼치게 느껴지고 오만가지 생각을 다 하게 만드네요.  
외국에선 이미 너무나 유명한 영화! 국내에도 얼릉 개봉하길 바랍니다.  
시사회로 봤는데 잔잔한데 뭔가 툭치는 느낌이 있는 영화였다...블록버스터에 지친 분들은 보면 좋은영화... 하지만 유독 실내장면만 음성이 벙벙거리는데 옥에티? 였음!!!  
1. 물질 만능주의와 개인의 양심이 만들어낸 우리 사회의 비극과 한 생명이 만들어 놓은 끓을수없는 인연~~2. 상반기 '한 여름의 판타지아'의 김새벽 배우를 발견했다면 하반기는 '인 허 플레이스' 의 안지혜 배우의 발견인듯~~  
개봉하길 기다리고 있었어요. 너무 기대됩니다!!  
재미없을거 같다 안볼겨  
개봉전 평점: 8.33
전체 댓글수: 9
