0
기대중인영화 멜랑콜리아 폭풍의언덕에 이은 올해 탑쓰리가 될수있엇으면 한당  
영화 분위기가 좋네요. 기대중!  
전생의 기억을 가지고 태어나서 전생에 사랑했던 연인을 한번 더 사랑했다는 이야기?  
화면이 기대된다  
개봉전 평점: 9.00
전체 댓글수: 4
