0
바이킹의 이야기... 재밌겠는데요~!!  
킬링 타임용으로 좋군...역시 서사 액션이야  
바이킹 얘기는 언제나 흥미진진하다  
왜 상영관이 안보이는지  
개봉전 평점: 9.75
전체 댓글수: 4
