0
다시 돌아온 정통 느와르 영웅본색하고 좀 비슷한데!  믿고 보는 감독작품  
중국에서 본 영화!  무협스토리에 느와를 믹스한 영화.  재밌게 봤어요.  
고천락에 진목승감독이라니... 시원한 액션 완전 기대됨!!  
캐스팅도 빵빵하고 감독도 괜찮네요! 간만에 제대로 된 홍콩 액션 스릴러 기대해봅니다!!  
"이정도 라인업이라면 믿고 보겠는데, 이전 작품이 장가휘빼고는 그다지 맘에 들지 않아서.. 그래도 좋은 배우들과 감독이니 기대하고 보겠음.  "
오. 스트레스 한번에 날려줄것같은 영화네 ㅋㅋㅋ  
이런 홍콩영화 정말 좋음!! 요즘에도 가끔 보고 싶음!!  
1빠 ㅋㅋ영화 대박나세요오오오~  
아 레알 별론데 ㅡㅡ 하암~~`지루하당  
개봉전 평점: 9.00
전체 댓글수: 9
