0
새로운 시선 새로운 느낌  
캐릭터 완전 귀여워요!  
아 귀여워! 얼른 보고 싶어요~ 빠른 개봉!!  
새로운 캐릭터네요 이거 개봉 언제 하나요??  
스토리도 아기자기 할 것 같다. 기대ㅋㅋ  
개봉전 평점: 9.80
전체 댓글수: 5
