0
중국영화를 이시국에 보면 그냥OO  
더러운 짱깨영화...퉷~  
믿고 거르는 짱꼴라영화.  
듣보잡 배우들과 무협영화  
팔극권 영화는 희안하게 없어서 찾아봤는데...이름만 있네;;;  
왠지 재미있을 듯 하다 .  
개봉전 평점: 4.50
전체 댓글수: 6
