0
비주얼 보니 무슨 내용일지 궁금!!  
<화이트갓> 감독 신작이구나!!  
쿠아론과 이냐리투가 생각나다가도... 압도 당하기에 충분하다.  
이유따지지 않고 그냥 보고싶다  
아 이거 촬영 진짜 최고. 영상이나 촬영 관심 있는 분들 꼭 보세요 특히 오프닝 시퀀스 진짜 압권  
개봉전 평점: 10.0
전체 댓글수: 5
