0
역시 성진국 av배우도 영화주연 많이하네 ㅋㅋ 근데 얘는 그정도 인기는 아닌거같은데  
"기대보다 너무 재미있네요,,,  "
여배우 완전섹시하다!!! 궁금한영화.  
개봉전 평점: 8.67
전체 댓글수: 3
