0
이런 b급 영화 오랜만이네  
장르가 액션 코미티 공포면   이정도면 충분하지 않냐불개미  가즈아ㅏㅏ  
병맛같고 재밌을것 같음ㅋㅋㅋ  
ㅋㅋㅋ 옛날 불가사리 보는 것같다 ㅋㅋ 오랜만에 B급 영화다운 B급영화!!  
3류영화도 안되는영화를 보기싫다 이딴거 만들시간에 노동해서돈이나벌어라 이딴곳에 돈 지 랄 하지말고  
쥬만지 느낌이 물씬 풍기네여ㅎㅎㅋ 재밌으면 시리즈로도 나왔으면 좋겟어요 ㅋㅋ  
징그럽게 생기긴 했네..  
디스트릭트9 제작진 실화임? 기대해도 되는건가 ㅋㅋㅋ  
개봉전 평점: 8.88
전체 댓글수: 8
