0
쥬라기공원 명성에 테러하는구나  
이거 딱 봐도 너무 어색한cg같다  
B급영화가 뭔지는 아냐?  
ㅋㅋㅋㅋ이런영화도 나오네  
이딴 영화좀 들여오지 마라 진짜  
개봉전 평점: 5.60
전체 댓글수: 5
