0
오 기대합니다♥♥♥♥  
많이 기대하고 잇습니다  
낚시영화가아니길  찐한배드신 기대  
심야극장에 갈 이유가 생겼다  
만장일치영화 ㄷㄷㄷㄷ  
러시아 엄마 보단 차라리 러시아 엉덩이를 타라  
개봉전 평점: 8.50
전체 댓글수: 6
