0
우리아이 좋아하는 동물들에 마법까지... 아이와 함께 보면 너무 좋을것 같네요  
정글북 동물들 나오는거라 둥이와 함께 보고 싶네요 너무기대됩니다  
"그림체 보니, 규모가 커 보여요~ 판타지 느낌도 있고.. 애들이 좋아하겠어요~ ^^  "
"오... 스토리도 신선하고 오즈의 마법사 느낌도, 정글북 느낌도 ㅎ 기대합니다  "
1등 ㄱㅇㄷ1등 ㄱㅇㄷ  
개봉전 평점: 10.0
전체 댓글수: 5
