0
턱형마냥사람턱으로건장한남자눌러버릴만큼의40대턱깎은유부녀배우가2080년에얼른데뷔했으면좋겠네요  
굿 최고입니다.몸매굿 얼굴굿  
몸매는 진주가 원탑이지 ㅋ  
"내가 젤 좋아하는 진주, 정말 보고싶어요!!!  "
개봉전 평점: 7.75
전체 댓글수: 4
