0
무슨영화지? 제발 재미있었으면 좋겠네여ㅡㅜ  
제발 재밌었으면 좋겟다  
기대됩니다!! 포레스트 그딴 것보다는 훨씬 더 무서울 것 같네요!  
개봉전 평점: 7.00
전체 댓글수: 3
