0
"‘오만과 편견’, ‘어톤먼트’, ‘캐리비안의 해적’ 시리즈 등 다양한 장르의 영화를 통해 연기력은 물론, 흥행파워를 보여준 키이라 나이틀리의 간만의 복귀작 #콜레트 대박!  "
키이라 나이틀리 만으로도 충분한...  
키이라 나이틀리면 무조건 봐야지.  
요즘 이런 감성적인 영화 보고 싶었어~!!  
5년만 일찍 나왔더라면...  
진짜 명작중에 명작임...  
상영관좀 늘려주지...ㅠㅠㅠ보고싶어도 못보네요..ㅠ  
의자에 앉아있는 포스터 완전 취저에요 ㅠㅠ  스토리도 궁금하네요!  
대단히 감각적인 트렌드세터 주인공이 매력적이고. 시대성이 돋보이는 패셔너블한 영상미가 뛰어나고. 유머러스하며 감각적인 연출이 좋았음.  
기대된다. 봄이 오는 길목에 ...  
키이라 나이틀리와 <스틸 앨리스 > 감독의 조합. 예고편만 봐도 벌써 기대가 되는 ..  
자신이 똑똑하다고 생각하는 여성은 남성에게 동등한 권리를 요구한다. 똑똑한 여성은 그러지 않는다. - 시도니 가브리엘 콜레트... sns에서 페미니즘에 문학이라니 꼭 본다ㅠㅠ 요러고 있는 언냐들이 명심해야 할 콜레트의 명언  
개봉전 평점: 9.25
전체 댓글수: 12
