0
엄청난 힐링영화 일듯... 이런것도 가끔은 좋지  
그냥 바다와 육지의 사이라고 해....  
1시간 반이라니 창렬이네.  
정말 풍경이 죽인다. 가고 싶다  
아일랜드 서부 작은 마을의 기가 막힌 풍경화  
개봉전 평점: 6.40
전체 댓글수: 5
