0
굉장히좋은영화!후회하지않는다!  
까미유의 사랑과 열정...그녀가 정신병원에 가기 전까지 머물던 집까지 다녀왔어요. 그녀의 이야기라면 당연히 봐야겠지요  
너무도 뛰어난 재능 때문에 감금당하듯 삶을 박탈당한 여인.  
대박!! !!  다시 한번 영화로 나오다니 ㅠㅠ  
진짜 꼭 보고싶다....  
아직 보진 않았지만 정말정말 최고  
영화 보고싶당재밌겠당  
글쎄요....별로..  
개봉전 평점: 8.75
전체 댓글수: 8
