0
저도 꼭 보고싶은데요 이거 어디에서 볼수 있나요..ㅠ.ㅠ.  
서울독립영화제에서 작년에 봤습니다. 탄탄한 짜임에 중간중간 등장하는 김시스터즈의 60년대 퍼포먼스 클립까지 이렇게 영화에 몰입한 것도 오랫만이네요. 다큐멘터리나 음악 좋아하시는 분이라면 꼭 보셔야 합니다.  
우리의 3명 그보다 더 잘표현 할수없다  
"이거 볼 기회를 놓쳤는데, DVD는 안나오나요? 꼭 구하고 싶네요.  "
우리에겐 힘들고 어려웠던 시절에도 멋지고 소중한 역사가 있습니다. 그 역사를 오늘에 되살려내신 김대현 감독님등 제작진을 진심으로 응원합니다.  
2015년 제천에서 보았습니다.영화의 만듬새는 아쉬웠지만그 안에 들어있는 이야기는 정말 감동적이었습니다.추천합니다.!  
안녕하세요. 네 안녕합니다.  
개봉전 평점: 9.71
전체 댓글수: 7
