0
시갈형님 목가지 꺽기을 모르면 깝치지 마라..ㅋㅋㅋ  
TV영화는 안봐도 뻔하다.  
과연 대사 몇마디 하실까..  
우~오~어~ 나의 어릴적 영웅 시갈 행님~~  
개봉전 평점: 7.75
전체 댓글수: 4
