0
장편드라마 요약본 같다  
무협지처럼만들긴햇는데.. 뭔가똥싸다 끊엇냐..?;;;  
무협액션의 새로운 신화가 열려?  
무슨 모바일게임 홍보영상도 아니고.. 유치해서 못보겠네  
내스타일이라 넘 재밌었음.. 간만에 재밌는 무협 영화. 근데 너무 짧네 2탄이 나올거 같은데 기대하겠음  
씨리즈물인가? 끝이 왜?이래???  
개봉전 평점: 5.50
전체 댓글수: 6
