0
약육강식은 그런거지..  
"간만에 서부영화!  이거 해외에서 재밌다고 호평이 났던데,,개봉하는건가요?!  "
서부액션영화 진짜 요즘 보기 힘든데...빨리 보고싶네요  
포스터 부터 땡긴다 재미있을듯 황야의 무법자느낌  
오랫만의 서부액션영화! 기대만빵!!  
개봉전 평점: 9.60
전체 댓글수: 5
