0
엄마와 기자로 사는 줄리엣 비노쉬 연기가 기대되네요  
줄리엣 비노쉬!!! 그녀이기에 기대되는 영화입니다!!  
"줄리엣 비노쉬 영화 오랜만이에요~ 영화 메시지도 있을거 같고,  기대기대!  "
드디어 개봉 확정 되었군요! 기대하고 있습니다~  
여자로서 공감될  거 같음! 무엇보다 줄리에 비노쉬 연기가 기대된다!  
눈물이 나는애잔한 영화. 엄마이기도 사회인이기도 한 줄리엣 비노쉬의 괴로움이 잘 느껴져 슬펐다...  
이제 곧 개봉이네요!! 가서 꼭 보고올게요~  
"결국 레베가가 선택한 것은 무엇인가, 그리고 그 선택으로 인해 잃어햐 하는 것은 무엇인가  "
잠 안오는 무더운 밤 혼자 보며 더위를 식히고 싶은 영화네요~ 무더운 여름 날씨처럼 뜨거운 감동을 기대해요^^  
니콜라이 왈도가 나오는구나!!!  
예고편 봤어요~ 너무 기대됩니다...  오랫만에 기다려지는 영화입니다.  
마치 카파의 일생을 비노쉬가 연기하는듯한 착각을 일으키는 아름다운 영화일듯...어서 보구 싶네요~!!!  
드디어 개봉~~ 기대기대~~  
일과 가정 중 하나를 선택해야 하는 종군기자이자 엄마를 연기한 줄리엣 비노쉬의 연기가 기대됩니다.  
오오~줄리엣 비노쉬! 기대됩니다!!ㅎㅎ  
줄리엣 비노쉬라니 너무 기대됩니다 +_+  
개봉전 평점: 9.38
전체 댓글수: 16
