0
나는 쓰레기니깐 꼭본다. 제발 우리집앞에 영화관에서 개봉해주길  
역대급 이다ㅎㄷㄷ;;  
"""~  다""  시리즈의 최종판일듯...!! 예고편만  봐도  살떨립니다..기대되네요!!  "
"오예~~'엄마는 OO다', '아버지는 개다' 엄청 재미있게 봤는데 '나는 쓰레기다' 드디어 개봉이네요. 빨랑 보고 싶다~!!ㅠㅠㅠ  "
이번에 기대가 되네요...  
와우!!!  세상에....  예고편 대박!!!  호기심가득...스릴만점  빠른개봉 기대합니다.  
영화 제목으로 저한테 시비거네요 1점 드립니다  
이런 쓰레기작품은 정신에 안좋다  
개봉전 평점: 7.50
전체 댓글수: 8
