0
보물을 발견했네요. 행복합니다^^  
제작비 10만원 예상해봅니다. 안보는거 추천함.  
"미야모토 무사시 2부작, 바람의 검심123,시노비,닌자어쎄씬을 보고 이 영화를 봤는데 참 잘 만들었다. 이들처럼 싸움을 잘한다면 여친과 밤거리를 다녀도 두렵지 않을것 같다.^^  "
분장이나 CG 수준이 전대물보다 못하다.  
푹 숙면하고 일어낫을때에 이 개운함  
개봉전 평점: 4.60
전체 댓글수: 5
