0
10점 만점에 10점. 두번 봐도 될 영화네요.  
잭 휴스턴 정말 좋아용 ㅠ 벤허보고 너무 멋져서 이것저것 찾아봤는데 러브인베를린 내용도 좋았고 예술가로서의 연기도 좋았어요 ㅎㅎ 목소리도 거칠고 짱 ㅎ  
"행복할 것인가, 위대할 것인가... Brit Marling님은 또 나한테 이런 고민을 던져주시네요.  사랑합니다.  "
이건 좋다 두번봐라 인정  
호들갑이 할리우드보다 심하면 어쩌자는 거냐  
"'내가 죽으면 누가 슬퍼해 줄까'에 대한 영화, 분명한 플롯과 몇 마디의 명대사로 명화가 탄생합니다, 사랑은 등장하지만 연애 영화는 아닙니다. 삶의 영화....!!  "
Posthumous  
추천합니다!  재밌게 봤어요!  
개봉전 평점: 8.50
전체 댓글수: 8
