0
영화 컨셉 좋네요! 개봉 빨리 하면 좋겠어요!  
이 영화 궁금해요 개봉이 언제인가요?  
여기도 바이럴 알바..  
요즘 이스케이프 시리즈물이 대세인 것 같아요~ 꿀잼일듯!!  
여자들간의 맨몸액션이라... 간만에 기대되는 액션 영화!  
개봉전 평점: 7.80
전체 댓글수: 5
