0
그저 그럴것 같았다  
도대체 관객에게 무엇을 주려한 거냐.  
예고편!! -_-)=b 대박!! 기대됩니다.  
오랫만에 음악 영화다!!!  
오호+ㅅ+ 잼날거 같네 꼭 봐야지 !~ㅋㅋ  
개봉전 평점: 7.00
전체 댓글수: 5
