0
문방구에서파는게...감독지인 몇명 불러서...발로 찍은듯..총제작비 100만원..5명 출연..하루면 다 찍음..살다살다 이런영화..ㅋㅌㅌㅊ  
예고가 더 재밌어요 ㅋ미국 D급 영화 ㅋ  
킹크랩 맛있겠다 ㅜㅜㅜㅜ  
개봉전 평점: 4.00
전체 댓글수: 3
