0
배우분 ... 매력 쩌네.. ㅠㅠ 기대됩니당  
내용이 어떨지 궁금하네요~  
포스터에 여자배우분이 정말 아름답네요 ㅠㅠ 기대됩니다~  
개봉전 평점: 10.00
전체 댓글수: 3
