0
사람은 갔어도 작품은 남는구나....  
전규환 감독님 팬입니다. 꼭 이영화가 개봉 됐으면 좋겠습니다.  
전규환 감독 신작 기대된다.  
딱 봐도 쓰레기 같을것  같다.  
무삭제 원본으로 개봉 했으면 좋겠습니다 진짜 적나라하게 다 봤으면 좋겠습니다  
오가 화이팅 !! 오가 힘내 도와주세요  
조혜정씨의 활약 기대합니다!!!!  
개봉전 평점: 8.86
전체 댓글수: 7
