0
지방이라 그런가.. 개봉한것도 몰랐네요. 보고 싶었었는데..  
세 배우분들의 연기호흡이 너무 기대됩니다~ 빨리 만나보고 싶어요 >  
"열세살수아를 정말 좋아했는데, 기대됩니다!  "
왠지.  
상처에 관한 이야기라는 점에 관심이 갑니다  
너무너무 기대가 됩네다 : ) 배우들의 연기가 무엇보다도 기대가 되네요!  
박진희 진짜 엄청이쁜거같아  
정말 기대됩니다 >_<  
무슨 드라마지?  
개봉전 평점: 10.0
전체 댓글수: 9
