0
랑랑의 연주를 극장에서 만날 수 있다니!!!  
별로 흥미가 가진 않네요  
엇!! 런던가서 직접 봤던 공연...!! 또 보고 싶다 랑랑!!  
개봉전 평점: 7.00
전체 댓글수: 3
