0
학창시절 짝꿍이 그리워지는 영화  
"봄날, 따듯하게 볼 수 있는 첫사랑영화 일듯...  "
내생일이5월1일이라 평점10점줌  
개봉전 평점: 9.67
전체 댓글수: 3
