0
입술위에 추 달콤하게 추  
색다른 영화일 것 같은 느낌.. 낯선 곳에서  꿈을 펼치라는 카피가 마음에 드네요  
"Go~~~choo, go~~~choo!  "
아..놔  ..작은 사진으로 보고/ 정준하인줄 알았네 ㅋㅋ  
미국 유학갔을때 생각나네요. 영화 재밌을거같네요.  
젊음에게 꿈이란 질문을... ??  
개봉전 평점: 9.50
전체 댓글수: 6
