0
오~!! 소재 괜찮다! 괜찮은듯ㅋㅋ!  
이런 스타일 영화 진짜 좋음 ㅎㄷㄷ  
그냥 그렇네  
개봉전 평점: 7.33
전체 댓글수: 3
