0
av라는 단어가 들어가서 10점 줍니다  
오늘은 제 얘기만 해야되는데요  
대체 먼생각으로 이영화릉 만든거냐? 아 감독이 일본사람이구나.. 그냥 일본영화에 한국사람 몇명 출연시킨거였군 어쩐지;;  
"뭐냐 이건? 한 여름의 판타지아 보고 급 삘받아서 만들었냐? ㅡ,.ㅡ ;; 모조품들이 판을 치는 한국 영화계.  "
상상하던 스토리가 영화로 만들어질 줄이야!  
은근히 재미있을지도 ㅋ  
그냥  보고싶다.. 그냥 아무이유없이...!!  
내 인생배우 나나우미 나나가 영화에 나오다니;  
개봉전 평점: 7.12
전체 댓글수: 8
