0
1편도 그저 그렇던데.. 그나저나 1편은 울나라에 개봉안했는데?  
이거 이어지는 스토리 일까요 주연배우들 그대로 나오는걸로봐서..  
일편 만큼만 재미있게 해 주소소소소  
 i beleave  
걍..믿는다 이번엔 ^^  
개봉전 평점: 10.0
전체 댓글수: 5
