0
여주가 이뻐서 모든것을 용서할수있는 영화  
여주와의 의리..ㅋㅋ 보고나서 그 글이 와닿았다...  
여주와의 의리로 끝냈다...  
이 영화를 만든 자체가 미스다  
이거 다들  감상 후 평가한거냐???한 5분보니 재미 없어보이던데... 제일 웃긴 건  기둥이나 사람이 총 맞아도 피나 구멍이 안나네...  
ㅋㅋㅋ 첫장면에서 앞구르기는 머지 ㅋㅋㅋ 코메디 영화라서 10점  
1빠다. 황수민 ㅎㅇ!  
개봉전 평점: 6.14
전체 댓글수: 7
