0
삼삼한 날 봄...봐야지?  
응???? 삼삼한 날???  
어떻게봄  
재밌을거같아요  
재밌을거 같아요  
재미없을것같아요 ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  
개봉전 평점: 8.00
전체 댓글수: 6
