0
이거 진심 개명작이다. 꼭봐라  
페이크다큐 팬으로서 그 어떤 영화보다 가장 기대된다ㅜㅜ  
미니어처르 휘감은 화염을 보니 제작비가 대충....  
이건 뭐 포토사진보니깐 딱히 재미가 없어보이네 포토사진 대표적으로 올릴수 있는게 겨우 저거뿐일까?  
씹노오잼 ㅋㅋ 집어치워라  
딱 두마디 하겠다.~대박 ! 반전 !  
개봉전 평점: 6.17
전체 댓글수: 6
