0
나문희 선생님 연기는 믿고 봅니다 ㅎㅎ 기대할게요!  
내 인생에 있어 가장 좋아하고 존경하는 텔런트 나문희 선생님...  
나문희 선생님 팬입니다. 작품 많이 해주세요  
남부민1동  초장동 일대에 찍으러 와서 작업하는걸 봤기 때문에 궁금함  
기대하고 보셔도 좋습니다~ 감동을 선사하는 영화입니다~  
20OOO 소공녀와 다른 내용이네  
이런것도 작품이라고...주접을 떤다.  
개봉전 평점: 8.57
전체 댓글수: 7
